SampleID	id_manifest	location	week	T	PMI	FDD	location_week	pig	rep 	snow_depth
S232	P2I2-21	Interior	week_21	-1.5	21	1420.1	Interior_week_21	Pig2	2	15
S233	P2I2-22	Interior	week_22	1.8	22	1441.4	Interior_week_22	Pig2	2	10
S234	P2I2-23	Interior	week_23	7.8	23	1436.3	Interior_week_23	Pig2	2	0
S236	P2I2-3	Interior	week_3	5.3	3	80.4	Interior_week_3	Pig2	2	1
S237	P2I2-4	Interior	week_4	4.6	4	129.7	Interior_week_4	Pig2	2	3
S238	P2I2-5	Interior	week_5	-6.3	5	228.9	Interior_week_5	Pig2	2	40
S239	P2I2-6	Interior	week_6	-6.9	6	282.7	Interior_week_6	Pig2	2	30
S240	P2I2-7	Interior	week_7	-9.3	7	452.4	Interior_week_7	Pig2	2	30
S241	P2I2-8	Interior	week_8	-7.6	8	596.8	Interior_week_8	Pig2	2	30
S242	P2I2-9	Interior	week_9	-9	9	661.1	Interior_week_9	Pig2	2	80
S252	P2I3-1	Interior	week_1	7.9	1	22.9	Interior_week_1	Pig2	3	2
S243	P2I3-10	Interior	week_10	-11	10	794.3	Interior_week_10	Pig2	3	80
S244	P2I3-12	Interior	week_12	-4.3	12	991.2	Interior_week_12	Pig2	3	90
S245	P2I3-13	Interior	week_13	-5.3	13	1099.9	Interior_week_13	Pig2	3	100
S246	P2I3-14	Interior	week_14	-3.2	14	1208.7	Interior_week_14	Pig2	3	100
S247	P2I3-15	Interior	week_15	-5.6	15	1316.2	Interior_week_15	Pig2	3	130
S248	P2I3-16	Interior	week_16	-4.5	16	1377.7	Interior_week_16	Pig2	3	130
S249	P2I3-17	Interior	week_17	-5	17	1441	Interior_week_17	Pig2	3	130
S250	P2I3-18	Interior	week_18	-3	18	1421.2	Interior_week_18	Pig2	3	70
S251	P2I3-19	Interior	week_19	0	19	1437.5	Interior_week_19	Pig2	3	20
S257	P2I3-2	Interior	week_2	6.5	2	51.5	Interior_week_2	Pig2	3	2
S253	P2I3-20	Interior	week_20	3.1	20	1430.6	Interior_week_20	Pig2	3	0
S254	P2I3-21	Interior	week_21	-1.5	21	1420.1	Interior_week_21	Pig2	3	15
